gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
REG3G	21996	1408	-29	1222020	218124	0	3	0	0	22	21	15184584	1.995043e-01	1
SCG3	415519	247	27	3346758	466470	0	7	0	0	6	4	5651514	1.995067e-01	1
PPP2R1B	436031	242	25	4574034	915858	0	8	0	0	17	8	10209780	1.997296e-01	1
SHISA5	1480689	223	45	1575486	377118	0	6	2	0	50	102	43817958	1.998048e-01	1
GAST	1617880	323	9	687222	143226	0	3	0	0	23	36	18267228	2.001019e-01	1
DOK6	50550	968	-4	2312640	378432	0	7	1	0	50	70	34178454	2.001585e-01	1
TNNC1	1078407	229	62	1182600	152424	0	4	1	0	7	7	5606838	2.003546e-01	1
FAM107A	534993	383	31	992070	182646	0	4	1	0	8	5	5446530	2.004160e-01	1
SYK	126037	542	32	4366422	784458	0	7	0	0	19	16	19586484	2.004783e-01	1
SERPINI2	135686	933	-18	2832984	452016	0	10	1	0	50	104	39463362	2.015596e-01	1
MPEG1	542222	686	9	4650246	1002582	0	8	0	0	15	9	13794372	2.019440e-01	1
CER1	160131	882	-10	1779156	349524	0	9	1	0	24	57	26424540	2.019749e-01	1
WDR16	79661	336	-24	4223196	814680	0	9	1	0	19	12	12542130	2.021923e-01	1
PLSCR2	122649	611	-16	1579428	257544	0	6	0	0	50	109	50650758	2.023810e-01	1
RAB6B	530925	520	25	1472994	248346	0	4	0	0	50	52	30206232	2.023865e-01	1
FOLR4	424538	765	-12	1653012	299592	0	6	1	0	50	81	32215338	2.027744e-01	1
KIAA0020	137713	763	16	4585860	709560	0	8	2	0	50	28	33384798	2.030778e-01	1
CTAGE5	314800	300	16	5709330	955278	0	14	2	0	50	57	40306950	2.032061e-01	1
THG1L	243382	987	31	2069550	340326	0	2	0	0	50	13	35094312	2.036361e-01	1
OVCH1	100195	539	-5	7813044	1424376	0	16	3	0	50	68	39175596	2.042947e-01	1
TPD52	211901	353	43	1756818	327186	0	4	0	0	50	34	33936678	2.045703e-01	1
SNCB	579630	359	40	935568	181332	0	3	0	0	50	88	40739256	2.054133e-01	1
C2orf61	738157	206	39	1722654	342954	0	4	0	0	50	74	37220364	2.057664e-01	1
ELAC1	189022	332	51	2411190	490122	0	5	0	0	8	2	4641048	2.059948e-01	1
ATP6V1A	442365	364	33	4198230	821250	0	10	3	0	41	50	27942210	2.098113e-01	1
LYPD1	46944	848	8	964476	176076	0	3	0	0	50	75	43172784	2.099417e-01	1
SS18	167310	632	37	2951244	462528	0	4	0	0	40	14	28651770	2.104873e-01	1
ESR2	528074	387	46	3776436	714816	0	9	0	0	14	16	12596004	2.105928e-01	1
ZC3H3	2168942	235	34	6012864	1589940	0	22	2	0	19	32	16357986	2.114503e-01	1
DRAP1	3779084	287	42	1420434	266742	0	7	0	0	50	93	38213748	2.116089e-01	1
LYRM1	260596	545	33	821250	174762	0	3	0	0	50	84	38893086	2.116908e-01	1
OR9G4	384896	828	-34	2123424	459900	0	6	2	0	45	71	28237860	2.145708e-01	1
TFPI2	228127	480	-12	1631988	275940	0	8	0	0	50	109	38781396	2.148243e-01	1
CABP5	993450	433	26	1206252	218124	0	5	0	0	50	128	46706130	2.151418e-01	1
LYPD5	464802	286	11	1650384	383688	0	6	1	0	50	90	41882436	2.152526e-01	1
OR2AT4	752176	556	48	2039328	488808	0	3	0	0	50	48	44556426	2.157494e-01	1
TNFAIP8L3	285978	427	26	1964430	371862	0	6	0	0	50	66	36048276	2.160631e-01	1
TNFSF10	319022	263	23	1969686	300906	0	3	1	0	13	10	10078380	2.164520e-01	1
ZNF367	355218	400	23	2291616	517716	0	7	1	0	50	60	40550040	2.167192e-01	1
LY6G6F	2517236	193	20	1959174	448074	0	5	0	0	9	2	5861754	2.169897e-01	1
SPINK14	63265	390	-8	695106	109062	0	3	0	0	50	76	39555342	2.175086e-01	1
CAMK2N2	NaN	NaN	NaN	529542	111690	0	3	0	0	50	216	73954548	2.178392e-01	1
SPOPL	85990	638	15	2763342	440190	0	5	1	0	41	29	28070982	2.183772e-01	1
FYB	171734	367	-6	5711958	1020978	0	15	3	0	36	50	27365364	2.183841e-01	1
CA13	99038	1463	13	1797552	339012	0	3	1	0	11	1	7485858	2.192268e-01	1
RANBP6	350338	339	24	7397820	1327140	0	14	1	0	23	32	20073978	2.193582e-01	1
HIST1H3H	267617	634	32	872496	218124	0	4	1	0	32	43	18878238	2.195338e-01	1
C5orf24	877491	696	39	1233846	266742	0	1	0	0	50	20	45949266	2.197696e-01	1
C14orf166B	357783	370	41	3396690	595242	0	7	0	0	18	17	15640542	2.199748e-01	1
GMDS	160107	647	20	2562300	483552	0	6	0	0	45	44	35255934	2.203295e-01	1
TNNI3	1036976	266	-1	1433574	295650	0	7	1	0	50	77	28287792	2.216680e-01	1
CTDSPL	408788	457	22	1905300	357408	0	6	1	0	50	102	41128200	2.218475e-01	1
TSPO2	145501	611	37	1105074	274626	0	2	0	0	50	41	37262412	2.223169e-01	1
SOCS1	632841	308	37	1310058	371862	0	8	2	0	13	30	10054728	2.239967e-01	1
PURA	830974	290	48	2084004	467784	0	7	0	0	13	22	16171398	2.245107e-01	1
BCL10	348743	384	3	1554462	311418	0	5	0	0	50	66	36418824	2.249037e-01	1
DDR2	322980	293	9	5810508	1106388	0	14	2	0	50	67	41603868	2.250110e-01	1
CCT4	688730	226	34	3605616	788400	0	7	0	0	21	23	16855992	2.250856e-01	1
GRIP1	228672	944	-6	7244082	1488762	0	9	2	0	11	6	10643400	2.251815e-01	1
KITLG	144795	419	-29	1942092	312732	0	5	0	0	50	82	42116328	2.259958e-01	1
TIMD4	135146	1235	16	2507112	570276	0	5	3	0	11	3	6968142	2.265280e-01	1
EID2B	1148741	322	25	1010466	271998	0	4	0	0	24	42	22167180	2.265308e-01	1
RCAN3	470059	348	28	1676664	273312	0	9	1	0	50	89	38538306	2.266852e-01	1
NAA30	150623	939	16	2366514	534798	0	6	2	0	8	2	5249430	2.267450e-01	1
QRSL1	227264	174	40	3581964	693792	0	4	1	0	50	19	30490056	2.271080e-01	1
FMO3	395042	1004	-11	3639780	646488	0	7	1	0	30	35	23168448	2.278899e-01	1
RFC3	84617	580	33	2566242	440190	0	5	0	0	7	4	6316398	2.283112e-01	1
CHD3	1971623	337	29	14184630	2739690	0	23	3	0	18	12	15903342	2.301882e-01	1
METTL7A	569122	220	40	1634616	307476	0	6	1	0	35	77	25193322	2.302344e-01	1
DUXA	311003	924	-64	1444086	229950	0	6	1	0	50	94	32761962	2.305716e-01	1
TCTE3	233648	447	3	1388898	222066	0	4	0	0	50	120	44310708	2.306707e-01	1
PCOLCE	1767777	242	60	2913138	724014	0	7	0	0	30	41	31420368	2.310798e-01	1
RAB32	56448	901	-33	1520298	282510	0	6	0	0	50	92	32022180	2.311283e-01	1
CXADR	100910	366	-17	2467692	480924	0	5	1	0	28	27	19554948	2.322780e-01	1
FBXO21	206608	213	20	4336200	743724	0	8	2	0	15	5	8927316	2.325452e-01	1
LRMP	250089	700	17	3521520	599184	0	7	1	0	50	55	36179676	2.325761e-01	1
SH3TC2	350600	254	15	8580420	1750248	0	17	3	0	16	11	11908782	2.331628e-01	1
PTPRA	807310	396	46	5516172	1035432	0	10	2	0	20	26	17963694	2.337395e-01	1
NR4A3	280636	538	8	4376934	931626	0	11	1	0	44	79	39755070	2.339691e-01	1
LRG1	2111443	278	43	2214090	545310	0	8	0	0	25	42	20855808	2.341716e-01	1
SMPD2	328699	559	47	2865834	576846	0	7	0	0	11	5	6526638	2.345293e-01	1
C4orf50	109875	686	16	1842228	409968	0	4	1	0	49	33	31541256	2.347059e-01	1
HOXB9	909944	509	28	1651698	337698	0	4	0	0	36	35	26774064	2.347457e-01	1
LARP4	855863	125	41	4952466	926370	0	5	1	0	12	3	10429218	2.348854e-01	1
TCF7L2	156660	435	-9	4683096	935568	0	13	1	0	41	68	29281176	2.349707e-01	1
PROCR	1346435	168	46	1562346	353466	0	5	2	0	17	29	14397498	2.351320e-01	1
HCRTR1	1061386	197	37	2764656	657000	0	10	1	0	10	14	6826230	2.355320e-01	1
RGMB	141802	729	11	3135204	683280	0	8	2	0	31	51	27746424	2.357737e-01	1
ARHGAP31	265987	585	23	9456858	2051154	0	18	3	0	18	17	15732522	2.364717e-01	1
GNPDA2	62624	1009	11	1940778	306162	0	3	0	0	50	30	43832412	2.367795e-01	1
IER5	201966	253	23	2023560	562392	0	4	1	0	50	22	35099568	2.368115e-01	1
TPST1	551438	412	26	2487402	487494	0	5	0	0	34	47	26668944	2.369137e-01	1
TMEM170A	490399	133	16	932940	236520	0	3	0	0	50	47	37491048	2.370809e-01	1
ARL5B	74299	539	-5	1248300	223380	0	4	1	0	6	6	4782960	2.371785e-01	1
CSN2	9753	991	-4	1518984	339012	0	5	0	0	50	91	33892002	2.374246e-01	1
NUDT7	79181	1194	-24	1610964	310104	0	6	2	0	7	12	7651422	2.374258e-01	1
IMPACT	144714	390	16	2296872	339012	0	3	1	0	50	30	32119416	2.384651e-01	1
DUSP22	224772	684	46	1314000	218124	0	2	0	0	50	18	25925220	2.387497e-01	1
PPFIA1	514596	530	44	8266374	1512414	0	13	2	0	18	11	10614492	2.391467e-01	1
PCGF6	533950	125	43	2403306	463842	0	10	2	0	32	40	18565506	2.395167e-01	1
GEMIN7	1135715	208	25	833076	218124	0	3	0	0	50	84	36250632	2.404885e-01	1
RAB5B	2080397	229	31	1499274	256230	0	3	1	0	7	3	5665968	2.407887e-01	1
LPPR5	37516	947	-17	2132622	458586	0	10	1	0	37	76	27473112	2.410287e-01	1
CPNE8	87865	674	-4	3965652	693792	0	11	2	0	50	84	38472606	2.410787e-01	1
CALN1	17685	956	-29	1814634	314046	0	8	0	0	31	70	23316930	2.417336e-01	1
ZAP70	358719	582	36	4189032	825192	0	10	1	0	28	38	25467948	2.419759e-01	1
CRHBP	245514	418	17	2194380	415224	0	5	1	0	40	41	30271932	2.422408e-01	1
CA4	973133	347	10	2128680	417852	0	8	1	0	9	8	5514858	2.422980e-01	1
FGF6	291341	908	23	1350792	328500	0	3	0	0	50	33	38479176	2.427189e-01	1
RAP2A	343135	533	28	1229904	231264	0	3	0	0	50	81	39582936	2.429359e-01	1
WT1	356326	749	9	3468960	709560	0	14	3	0	7	16	7056180	2.429393e-01	1
AKR1B15	403585	319	21	2424330	400770	0	4	1	0	50	50	41722128	2.432078e-01	1
TMEM132E	222789	740	-3	6241500	1618848	0	18	3	0	36	63	29459880	2.443426e-01	1
C1orf27	277882	399	-14	3183822	540054	0	6	0	0	50	49	32709402	2.448352e-01	1
BRE	536663	376	27	3133890	574218	0	9	1	0	50	67	32351994	2.450627e-01	1
SALL2	707507	470	26	6379470	1578114	0	14	2	0	10	5	7605432	2.451943e-01	1
LRIT3	212757	462	28	4141728	885636	0	9	0	0	12	10	8646120	2.454471e-01	1
RFX4	247645	482	-1	5462298	1047258	0	16	3	0	50	75	35466174	2.455024e-01	1
PIGC	113155	450	11	1923696	425736	0	4	0	0	50	64	42733908	2.455895e-01	1
ATP5L	963668	192	48	688536	152424	0	2	0	0	50	95	39083616	2.456579e-01	1
ATP6V1G1	288977	221	10	830448	128772	0	2	0	0	50	55	36304506	2.458970e-01	1
ZNF385B	65074	927	-3	3219300	657000	0	6	0	0	4	3	4943268	2.460265e-01	1
CYLC2	13384	1215	-31	2471634	327186	0	10	0	0	50	152	46916370	2.463489e-01	1
MYLIP	159273	596	27	3036654	542682	0	7	0	0	50	64	41251716	2.467141e-01	1
CDC40	132627	636	19	4057632	667512	0	6	0	0	33	29	25867404	2.473047e-01	1
LCN9	362222	524	29	1215450	214182	0	4	0	0	50	89	44361954	2.476228e-01	1
CXCL14	493676	608	26	768690	145854	0	4	0	0	12	13	6384726	2.490103e-01	1
TMEM115	843769	206	51	2197008	588672	0	5	0	0	18	12	11042856	2.494456e-01	1
DSE	261273	541	30	6421518	1191798	0	17	2	0	11	18	10222920	2.496644e-01	1
RPS28	778783	209	14	476982	111690	0	3	0	0	50	90	42739164	2.499978e-01	1
MEIS1	21299	641	-10	2746260	462528	0	6	1	0	9	3	5869638	2.501957e-01	1
CLEC12B	305376	565	19	1982826	298278	0	4	0	0	50	51	47426202	2.502754e-01	1
PYDC2	101042	886	13	651744	115632	0	1	0	0	50	44	38987694	2.506205e-01	1
YIPF5	39627	428	1	1776528	310104	0	4	0	0	50	50	36872154	2.511773e-01	1
GDA	285414	207	11	3158856	565020	0	9	1	0	50	54	32129928	2.513927e-01	1
ARL2BP	717872	149	48	1177344	168192	0	3	0	0	50	41	33390054	2.516306e-01	1
BBS12	134067	172	14	4717260	898776	0	2	0	0	37	3	23169762	2.520559e-01	1
PAK2	798731	446	41	3638466	647802	0	9	2	0	50	59	33810534	2.523655e-01	1
GLIPR1L2	313411	606	-22	1738422	300906	0	8	2	0	19	33	11205792	2.531930e-01	1
TSPYL1	260958	593	22	2844810	608382	0	9	0	0	50	81	43509168	2.534496e-01	1
TMEM56	228305	452	-8	1819890	324558	0	4	0	0	50	72	37739394	2.535492e-01	1
RPL35	1125524	207	41	839646	180018	0	4	0	0	50	110	36939168	2.535869e-01	1
GML	447193	438	36	1087992	197100	0	3	1	0	31	51	23553450	2.539388e-01	1
YOD1	434877	155	24	2260080	507204	0	4	0	0	50	76	49105494	2.539788e-01	1
JPH1	236544	478	-15	4362480	914544	0	15	2	0	50	92	40157154	2.541635e-01	1
AKAP13	230754	454	17	19085850	3662118	0	31	8	0	19	13	14557806	2.547532e-01	1
APLNR	929334	250	-20	2458494	545310	0	11	3	0	33	68	23422050	2.552184e-01	1
MIPOL1	67481	526	-48	3156228	452016	0	14	2	0	41	107	29671434	2.552604e-01	1
TP53AIP1	195815	580	-2	704304	165564	0	4	0	0	50	70	35224398	2.553458e-01	1
ECT2	301474	239	11	6124554	1081422	0	9	1	0	9	5	6476706	2.554188e-01	1
FOXN2	254318	752	23	2934162	524286	0	5	0	0	50	39	46775772	2.558498e-01	1
C17orf74	1906324	206	33	3249522	739782	0	12	0	0	8	13	6927408	2.560055e-01	1
COPZ1	664708	190	45	1273266	219438	0	4	0	0	50	93	41945508	2.564216e-01	1
C4orf51	221010	1168	26	1398096	254916	0	3	1	0	6	1	3734388	2.566311e-01	1
SLC24A1	501873	240	44	3203532	580788	0	10	0	0	28	41	22903020	2.573413e-01	1
NEUROD1	210899	380	17	2378340	446760	0	6	1	0	12	6	6091704	2.575509e-01	1
FAM151B	320158	516	35	1926324	310104	0	3	0	0	50	44	30645108	2.592218e-01	1
PCBP3	724898	611	38	2525508	543996	0	3	0	0	10	0	7975980	2.596899e-01	1
NCK1	181954	195	20	2584638	427050	0	2	0	0	50	18	38091546	2.599235e-01	1
TAF3	189040	596	-1	6209964	1182600	0	15	2	0	24	19	14460570	2.602391e-01	1
PRPF40A	285742	716	16	6563430	1044630	0	9	0	0	8	1	7198092	2.603836e-01	1
KIAA1211	460708	489	17	8107380	1705572	0	24	5	0	43	77	33525396	2.604277e-01	1
SNX4	319722	132	35	3193020	504576	0	4	0	0	50	19	32627934	2.605892e-01	1
FGF22	1832767	218	10	1053828	312732	0	6	1	0	21	73	22585032	2.607305e-01	1
ALDH6A1	495634	236	40	3575394	771318	0	9	0	0	19	20	13810140	2.609934e-01	1
CDS1	94589	895	5	3200904	567648	0	6	1	0	6	1	4656816	2.611305e-01	1
MRPL42	380369	364	15	1091934	158994	0	3	0	0	50	90	49549626	2.615271e-01	1
CCDC115	360632	593	5	1186542	282510	0	3	0	0	4	1	3639780	2.615306e-01	1
OR10J3	285980	737	-6	2123424	473040	0	6	0	0	15	29	15790338	2.623495e-01	1
SKP1	766424	144	54	1231218	174762	0	4	0	0	50	111	41346324	2.625698e-01	1
PAG1	185952	441	18	2926278	550566	0	4	0	0	21	9	13296366	2.627045e-01	1
MED21	408250	320	26	990756	189216	0	2	0	0	50	69	38643426	2.633954e-01	1
RNF17	486857	629	29	11339820	1836972	0	25	2	0	2	4	4658130	2.639062e-01	1
MGEA5	817474	335	37	6287490	1099818	0	10	2	0	13	9	8969364	2.648690e-01	1
REEP5	248831	340	44	1315314	224694	0	3	0	0	50	39	33626574	2.658988e-01	1
SIRT5	277510	425	37	2174670	479610	0	4	1	0	50	42	37046916	2.661526e-01	1
DGKB	24487	1141	-13	5673852	959220	0	11	1	0	28	40	30490056	2.665022e-01	1
C9orf69	799089	244	42	817308	265428	0	3	1	0	26	35	24260382	2.668030e-01	1
SPINT4	777303	359	16	720072	99864	0	2	0	0	50	78	37346508	2.669252e-01	1
MYO1D	502828	818	5	6936606	1228590	0	11	0	0	4	1	5275710	2.672367e-01	1
C11orf86	NaN	NaN	NaN	750294	180018	0	3	0	0	50	216	74022876	2.676602e-01	1
WWC1	413858	343	23	7564698	1501902	0	20	4	0	10	6	6493788	2.678199e-01	1
HRH4	144714	390	16	2603034	505890	0	5	1	0	50	30	32119416	2.678461e-01	1
CYB561D2	843769	206	51	1395468	394200	0	4	0	0	18	12	11042856	2.679237e-01	1
HBM	1267639	220	36	942138	208926	0	5	1	0	31	55	18886122	2.681493e-01	1
TMEM182	63440	913	-3	1561032	294336	0	5	1	0	50	80	35075916	2.687963e-01	1
OR51B5	100115	1056	1	2002536	465156	0	4	1	0	50	38	32422950	2.688032e-01	1
HUNK	341416	624	12	4767192	974988	0	17	1	0	16	24	12073032	2.688919e-01	1
FASLG	116331	506	7	1864566	390258	0	6	1	0	50	68	38879946	2.695928e-01	1
MTCH2	989876	214	28	2097144	425736	0	11	0	0	16	30	9904932	2.699103e-01	1
FOXN1	1517567	225	24	4186404	1009152	0	13	1	0	40	75	29748960	2.711146e-01	1
MAGOH	545236	258	25	1056456	149796	0	4	0	0	50	62	34198164	2.718930e-01	1
GREM1	244472	383	5	1212822	253602	0	4	0	0	26	35	16694370	2.723527e-01	1
IER3	2199534	167	44	969732	283824	0	2	0	0	50	65	40476456	2.723671e-01	1
GUCY1A2	63799	885	-21	4877568	974988	0	17	3	0	7	7	4312548	2.728772e-01	1
INO80D	290764	492	23	6802578	1396782	0	15	2	0	50	60	42241158	2.732145e-01	1
NUPL2	509506	218	23	2827728	578160	0	7	0	0	4	4	3725190	2.732957e-01	1
IL10	464449	357	29	1258812	199728	0	4	1	0	50	88	36048276	2.738368e-01	1
CDCP1	513877	326	46	5541138	1157634	0	12	1	0	18	22	14100534	2.741037e-01	1
CHCHD4	312564	463	27	1143180	170820	0	3	0	0	50	65	36661914	2.741058e-01	1
PKNOX2	412479	731	16	3221928	612324	0	9	2	0	8	2	3089214	2.745594e-01	1
NDUFB10	1747301	183	46	1222020	178704	0	5	1	0	32	44	21222414	2.746474e-01	1
CIB3	761374	298	42	1324512	215496	0	4	0	0	50	68	35541072	2.749658e-01	1
TSEN15	372562	761	8	1206252	239148	0	3	0	0	50	76	44882298	2.755467e-01	1
POLR3E	483001	235	50	4881510	918486	0	16	3	0	25	35	16863876	2.755917e-01	1
GTF2A2	521844	172	33	772632	136656	0	2	0	0	50	93	39079674	2.760418e-01	1
MS4A5	383569	899	18	1384956	252288	0	3	0	0	50	36	34129836	2.773579e-01	1
FEM1B	376557	437	37	4168008	798912	0	6	0	0	17	12	13984902	2.775399e-01	1
E2F6	342110	196	26	1939464	346896	0	4	0	0	37	56	38943018	2.778262e-01	1
ATP2C1	313762	475	19	6773670	1278522	0	12	3	0	18	16	14157036	2.778609e-01	1
TCF19	3364017	401	19	2182554	566334	0	5	0	0	5	4	6865650	2.779369e-01	1
BST2	899127	211	26	1220706	248346	0	6	2	0	13	18	6563430	2.781278e-01	1
SNRPF	426671	400	5	616266	101178	0	2	0	0	50	79	35667216	2.781781e-01	1
NKX2-8	49455	583	-20	1488762	413910	0	7	1	0	48	73	31646376	2.782601e-01	1
ATP5G1	757963	239	29	910602	216810	0	2	0	0	47	65	39606588	2.782713e-01	1
OLFM3	66875	991	-15	3135204	536112	0	6	1	0	34	38	24988338	2.783761e-01	1
TMEM144	135911	684	-9	2386224	457272	0	5	0	0	50	98	54621666	2.785832e-01	1
WFDC13	777303	359	16	676710	95922	0	2	0	0	50	78	37346508	2.789094e-01	1
MRGPRX3	631291	436	20	2068236	488808	0	6	1	0	50	78	45913788	2.789811e-01	1
MMACHC	809450	176	25	1823832	438876	0	3	0	0	17	3	9476568	2.790998e-01	1
MIB1	246867	325	47	6873534	1275894	0	5	1	0	15	2	10657854	2.792563e-01	1
B2M	673122	428	36	833076	149796	0	5	1	0	6	18	6299316	2.792680e-01	1
SYCP2L	269928	483	20	5856498	858042	0	8	1	0	50	46	44125434	2.797892e-01	1
PPP1R3A	12173	914	-21	7593606	1296918	0	13	2	0	10	6	7518708	2.803136e-01	1
KRTAP5-10	586193	626	50	1323198	282510	0	3	0	0	38	53	24757074	2.805506e-01	1
FAM172A	264052	622	6	2922336	470412	0	6	0	0	50	53	34173198	2.806597e-01	1
SVOP	574926	NaN	32	2048526	440190	0	8	2	0	34	87	32299434	2.807565e-01	1
KRTAP6-1	22916	1048	-79	466470	106434	0	3	0	0	50	133	29808090	2.808631e-01	1
TRIM22	139577	922	2	3416400	591300	0	8	2	0	19	13	10246572	2.809183e-01	1
MTBP	193807	877	-3	6333480	1032804	0	11	3	0	39	30	22016070	2.809291e-01	1
F7	789162	285	14	3115494	655686	0	11	0	0	7	8	6426774	2.809476e-01	1
KIFC2	2043455	200	36	5290164	1497960	0	11	0	0	12	9	10374030	2.809976e-01	1
WFDC10A	NaN	NaN	NaN	549252	97236	0	2	0	0	50	216	73940094	2.810916e-01	1
CD274	348920	629	23	2028816	328500	0	5	0	0	38	63	29930292	2.812300e-01	1
SCARA5	413257	154	32	3254778	739782	0	9	3	0	50	65	33664680	2.813475e-01	1
DCTD	204483	431	-12	1356048	194472	0	4	1	0	21	32	15347520	2.822197e-01	1
REP15	346550	376	-4	1589940	283824	0	4	1	0	30	47	23461470	2.832694e-01	1
ZMPSTE24	627703	373	18	3278430	568962	0	8	1	0	50	65	39145374	2.834333e-01	1
SH3PXD2B	495571	267	42	6062796	1253556	0	18	4	0	50	71	34931376	2.834471e-01	1
PDZK1IP1	364960	414	3	773946	164250	0	2	0	0	50	66	36797256	2.836260e-01	1
ADAM22	178742	722	17	6598908	1122156	0	10	2	0	34	18	21926718	2.836518e-01	1
ZNF521	24828	599	-1	9010098	1404666	0	22	4	0	9	12	7400448	2.845266e-01	1
ZNF571	279768	914	-61	4256046	584730	0	11	3	0	50	88	32712030	2.850475e-01	1
PLCXD2	188186	322	-3	2666106	526914	0	5	1	0	50	69	43478946	2.850978e-01	1
FKBP1A	394062	427	40	748980	152424	0	3	1	0	10	26	9404298	2.851624e-01	1
WAC	204806	355	17	4371678	879066	0	8	0	0	19	14	12670902	2.852459e-01	1
NPM1	300840	347	30	2144448	315360	0	4	0	0	31	30	22294638	2.857438e-01	1
LAMC2	764899	413	19	8171766	1488762	0	23	4	0	22	41	19168632	2.859788e-01	1
TMEM167A	230539	717	8	517716	89352	0	1	0	0	50	60	38243970	2.861705e-01	1
PPP2R2C	480192	540	50	3252150	558450	0	10	2	0	15	13	9977202	2.865601e-01	1
CDC42EP4	193467	212	-15	2261394	553194	0	8	1	0	11	12	8116578	2.867819e-01	1
SLC2A6	1858670	315	39	3224556	880380	0	10	3	0	50	74	40044150	2.872893e-01	1
BBS4	1110048	380	40	3655548	607068	0	9	0	0	5	5	4183776	2.876150e-01	1
FABP3	708176	262	29	922428	170820	0	4	0	0	50	102	45189774	2.880351e-01	1
MAPK1IP1L	837637	144	39	1486134	484866	0	3	1	0	50	37	39062592	2.881507e-01	1
NFYA	145501	611	37	2325780	512460	0	5	1	0	50	41	37262412	2.883665e-01	1
ZSCAN16	213170	562	23	2401992	381060	0	6	1	0	50	49	35279586	2.884757e-01	1
CD53	424743	764	24	1524240	283824	0	3	0	0	50	55	40685382	2.888452e-01	1
SHMT1	957114	254	9	3267918	663570	0	10	1	0	18	23	12481686	2.891514e-01	1
APOBEC2	145501	611	37	1521612	273312	0	3	0	0	50	41	37262412	2.893604e-01	1
DDA1	842088	211	43	729270	124830	0	3	0	0	50	107	41698476	2.895428e-01	1
TDGF1	277267	528	52	1298232	260172	0	4	1	0	11	14	6605478	2.896437e-01	1
SNRPA1	372683	406	2	1771272	336384	0	4	1	0	50	59	37334682	2.899741e-01	1
HOMER1	177305	593	37	2472948	409968	0	4	0	0	50	34	32070798	2.902331e-01	1
CPA4	424934	212	30	2917080	520344	0	9	2	0	25	30	13556538	2.907521e-01	1
TRIP12	321955	722	21	13578876	2554416	0	20	2	0	4	4	6383412	2.908853e-01	1
FAM111A	542222	686	9	4199544	657000	0	6	0	0	16	12	14235876	2.914047e-01	1
ARL15	83263	721	5	1421748	241776	0	3	0	0	50	84	45233136	2.918917e-01	1
DDX24	200295	605	47	5776344	1087992	0	13	4	0	12	8	6805206	2.925542e-01	1
EHD3	102236	884	15	3595104	683280	0	6	2	0	25	22	17970264	2.934641e-01	1
POLR2K	810757	396	25	440190	56502	0	1	0	0	29	60	31521546	2.939326e-01	1
DMRTA2	147973	639	-7	2148390	668826	0	10	2	0	14	26	10970586	2.940232e-01	1
HRH2	238233	642	19	2558358	595242	0	7	1	0	50	60	32580630	2.940783e-01	1
KCNJ12	405028	480	-60	2834298	597870	0	13	4	0	13	87	30185208	2.945513e-01	1
KCNK12	791803	516	25	2660850	747666	0	9	1	0	50	105	47231730	2.945845e-01	1
RNF148	53042	1027	6	2026188	386316	0	4	0	0	24	40	24257754	2.949581e-01	1
CD180	36320	392	14	4475484	764748	0	3	1	0	33	16	27374562	2.952227e-01	1
TCEA3	1050778	163	27	2421702	434934	0	9	2	0	26	69	26592732	2.953753e-01	1
PROP1	961008	363	32	1448028	362664	0	7	0	0	50	99	36241434	2.958639e-01	1
C6orf106	920583	132	31	2019618	379746	0	5	1	0	50	69	34981308	2.971295e-01	1
TCTE1	1037256	312	54	3266604	738468	0	10	4	0	30	53	22424724	2.972147e-01	1
AUH	124246	342	24	2253510	526914	0	3	1	0	50	20	38270250	2.972374e-01	1
SPO11	181292	604	9	2765970	495378	0	7	1	0	50	95	37598796	2.977438e-01	1
RNF4	816930	179	39	1375758	193158	0	3	0	0	50	45	32164092	2.982350e-01	1
PDLIM1	302337	444	6	2237742	427050	0	6	1	0	32	34	20925450	2.985511e-01	1
APEX1	464497	395	17	2122110	434934	0	5	0	0	20	21	12143988	2.988440e-01	1
TM7SF3	408250	320	26	3839508	777888	0	11	2	0	23	37	17331660	2.989577e-01	1
NAPG	191442	594	17	2220660	362664	0	5	0	0	5	0	3382236	2.993632e-01	1
FCRL4	232460	820	28	3462390	721386	0	5	0	0	9	0	4010328	2.998332e-01	1
NUP62	1679101	205	45	3257406	876438	0	6	0	0	14	10	11264922	2.998377e-01	1
HOXD12	242935	874	15	1708200	438876	0	7	1	0	50	84	36375462	2.999747e-01	1
C8G	1979517	188	34	1348164	320616	0	5	0	0	50	87	40923216	2.999989e-01	1
SDCBP2	417756	427	36	1953918	440190	0	5	2	0	25	27	19007010	3.001413e-01	1
RNMT	142674	697	42	3399318	466470	0	5	1	0	50	40	36523944	3.012693e-01	1
LIPG	243067	352	56	3420342	624150	0	6	2	0	50	32	27230022	3.014210e-01	1
ZNF793	257166	914	-56	2806704	444132	0	8	0	0	33	47	21460248	3.015255e-01	1
NUFIP1	685617	360	32	3438738	571590	0	9	1	0	50	90	45531414	3.020291e-01	1
SSBP3	695802	369	25	2671362	574218	0	7	0	0	25	39	23132970	3.033971e-01	1
CDC42SE2	313468	414	34	603126	98550	0	2	0	0	50	50	33316470	3.033973e-01	1
CDK14	127937	1027	7	3132576	567648	0	6	1	0	50	62	42569658	3.034755e-01	1
MYBPH	507603	453	31	3153600	725328	0	10	2	0	50	95	42994080	3.037652e-01	1
